key,value
createdAt,2026-06-19T12:31:06.758584
mode,formalfull
rows,5310
runtimeMs,50513
cloudsimValidation,false
seedRange,default
experiments,E4,E2,weight,vm
parallelism,16
cloudsimVersion,8.0.0
populationSize,30
maxIterations,200
totalEvaluationBudget,6000
lscboGlobalBudget,600
localSearchMaxTrials,5400
localSearchRoundTrials,400
levyBeta,1.5
levyAlpha,0.03
levyFraction,0.3
objective,weighted normalized makespan energy cost imbalance
decoder,direct continuous-to-VM assignment; any task-to-VM schedule is representable
imbalance,standard deviation of VM completion times divided by mean completion time
initialization,common greedy LPT earliest-finish warm start plus random positions
datacenter,1 datacenter, 4 cores per host, host count expands when needed to allocate all VMs
